///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: ECIDsOnlyFromHostLog.txt
// SoftRev: 1.76a5
// Date: Tue Aug 13 17:36:35 2019
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
ECID : $389029888 : 17302000 : ProcessCounter : 
ECID : $389029910 : 17302016 : PJEngRecipeRC : 
ECID : $389029938 : 17302032 : CarrierOutTiming : 
ECID : $389029960 : 17302048 : PJCompleteTiming : 
ECID : $389029988 : 17302064 : RCMaintenance : 
ECID : $389030016 : 17302080 : RCAbortProcess : 
ECID : $389030038 : 17302096 : RCNonePJ : 
ECID : $389030162 : 17302112 : AbortedCJ : 
ECID : $389030184 : 17302128 : CJAbortCondition : 
ECID : $389030212 : 17302144 : PackPostFirstLastOfNextPJ : 
ECID : $389030240 : 17302160 : PackPostContinuousCondition : 
ECID : $390272612 : 17431664 : LPPostProcMapCheck : 
ECID : $389030262 : 17302176 : RBEndInitialize : 
ECID : $389030290 : 17302192 : ResumeCleaning : 
ECID : $389030408 : 17302208 : PMMaintenance : 
ECID : $389030436 : 17302224 : BERBLoadArm : 
ECID : $390271062 : 17431056 : MultiRCWafSwap : 
ECID : $390272886 : 17431776 : LLWaferSharing : 
ECID : $390273412 : 17431984 : CPHOPrepUnLoadMainRcp : 
ECID : $390269028 : 17430864 : LLPreStage : 
ECID : $390269057 : 17430881 : LL1SlotUsage : 
ECID : $390269058 : 17430882 : LL2SlotUsage : 
ECID : $390269078 : 17430896 : FERBUnprocessArm : 
ECID : $390269202 : 17430912 : BERBUnprocessArm : 
ECID : $389030464 : 17302240 : LLLoadSlot : 
ECID : $389030486 : 17302256 : CLUnloadTiming : 
ECID : $389030514 : 17302272 : WaferPreTransfer : 
ECID : $389030515 : 17302273 : RC1InitialInterval : 
ECID : $389030518 : 17302276 : RC4InitialInterval : 
ECID : $389030537 : 17302289 : RC1RetryInterval : 
ECID : $389030546 : 17302292 : RC4RetryInterval : 
ECID : $389030660 : 17302304 : LLPurgePJPresent : 
ECID : $389030661 : 17302305 : LL1InitialInterval : 
ECID : $389030662 : 17302306 : LL2InitialInterval : 
ECID : $389030689 : 17302321 : LL1RetryInterval : 
ECID : $389030690 : 17302322 : LL2RetryInterval : 
ECID : $389030711 : 17302337 : LL1Cycle : 
ECID : $389030712 : 17302338 : LL2Cycle : 
ECID : $390271091 : 17431073 : RC1PeriodicDummyPreName : 
ECID : $390271094 : 17431076 : RC4PeriodicDummyPreName : 
ECID : $390271113 : 17431089 : RC1PeriodicDummyPreEtyNo : 
ECID : $390271122 : 17431092 : RC4PeriodicDummyPreEtyNo : 
ECID : $390271237 : 17431105 : RC1PeriodicDummyMainName : 
ECID : $390271240 : 17431108 : RC4PeriodicDummyMainName : 
ECID : $390271265 : 17431121 : RC1PeriodicDummyMainEtyNo : 
ECID : $390271268 : 17431124 : RC4PeriodicDummyMainEtyNo : 
ECID : $390271287 : 17431137 : RC1PeriodicDummyPostName : 
ECID : $390271296 : 17431140 : RC4PeriodicDummyPostName : 
ECID : $390271315 : 17431153 : RC1PeriodicDummyPostEtyNo : 
ECID : $390271318 : 17431156 : RC4PeriodicDummyPostEtyNo : 
ECID : $390271337 : 17431169 : RC1PeriodicDummyWaferType : 
ECID : $390271346 : 17431172 : RC4PeriodicDummyWaferType : 
ECID : $390271365 : 17431185 : RC1PeriodicDummyInterval : 
ECID : $390271368 : 17431188 : RC4PeriodicDummyInterval : 
ECID : $390271489 : 17431201 : RC1PeriodicDummyWaferCount : 
ECID : $390271492 : 17431204 : RC4PeriodicDummyWaferCount : 
ECID : $390271511 : 17431217 : RC1PeriodicDummyCoolTime : 
ECID : $390271520 : 17431220 : RC4PeriodicDummyCoolTime : 
ECID : $390272809 : 17431729 : RC1PeriodicDummyLLTP : 
ECID : $390272818 : 17431732 : RC4PeriodicDummyLLTP : 
ECID : $389030739 : 17302353 : RC1AutoCleaningTriggerType : 
ECID : $389030742 : 17302356 : RC4AutoCleaningTriggerType : 
