///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromDBInfo.txt
// Version: 1.0
// Date: Wed Jun 10 19:49:56 2020
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $01050292 : 17105554 : RC2DepoCount10Name : 
VID : $01050293 : 17105555 : RC3DepoCount10Name : 
VID : $01050294 : 17105556 : RC4DepoCount10Name : 
VID : $010502a1 : 17105569 : RC1DepoCount11Name : 
VID : $010502a2 : 17105570 : RC2DepoCount11Name : 
VID : $010502a3 : 17105571 : RC3DepoCount11Name : 
VID : $010502a4 : 17105572 : RC4DepoCount11Name : 
VID : $010502b1 : 17105585 : RC1DepoCount12Name : 
VID : $010502b2 : 17105586 : RC2DepoCount12Name : 
VID : $010502b3 : 17105587 : RC3DepoCount12Name : 
VID : $010502b4 : 17105588 : RC4DepoCount12Name : 
VID : $010502c1 : 17105601 : RC1DepoCount13Name : 
VID : $010502c2 : 17105602 : RC2DepoCount13Name : 
VID : $010502c3 : 17105603 : RC3DepoCount13Name : 
VID : $010502c4 : 17105604 : RC4DepoCount13Name : 
VID : $010502d1 : 17105617 : RC1DepoCount14Name : 
VID : $010502d2 : 17105618 : RC2DepoCount14Name : 
VID : $010502d3 : 17105619 : RC3DepoCount14Name : 
VID : $010502d4 : 17105620 : RC4DepoCount14Name : 
VID : $010502e1 : 17105633 : RC1DepoCount15Name : 
VID : $010502e2 : 17105634 : RC2DepoCount15Name : 
VID : $010502e3 : 17105635 : RC3DepoCount15Name : 
VID : $010502e4 : 17105636 : RC4DepoCount15Name : 
VID : $010502f1 : 17105649 : RC1DepoCount16Name : 
VID : $010502f2 : 17105650 : RC2DepoCount16Name : 
VID : $010502f3 : 17105651 : RC3DepoCount16Name : 
VID : $010502f4 : 17105652 : RC4DepoCount16Name : 
VID : $01050301 : 17105665 : RC1DepoCount17Name : 
VID : $01050302 : 17105666 : RC2DepoCount17Name : 
VID : $01050303 : 17105667 : RC3DepoCount17Name : 
VID : $01050304 : 17105668 : RC4DepoCount17Name : 
VID : $01050311 : 17105681 : RC1DepoCount18Name : 
VID : $01050312 : 17105682 : RC2DepoCount18Name : 
VID : $01050313 : 17105683 : RC3DepoCount18Name : 
VID : $01050314 : 17105684 : RC4DepoCount18Name : 
VID : $01050321 : 17105697 : RC1DepoCount19Name : 
VID : $01050322 : 17105698 : RC2DepoCount19Name : 
VID : $01050323 : 17105699 : RC3DepoCount19Name : 
VID : $01050324 : 17105700 : RC4DepoCount19Name : 
VID : $01050331 : 17105713 : RC1DepoCount20Name : 
VID : $01050332 : 17105714 : RC2DepoCount20Name : 
VID : $01050333 : 17105715 : RC3DepoCount20Name : 
VID : $01050334 : 17105716 : RC4DepoCount20Name : 
VID : $01050341 : 17105729 : RC1EtchCount1Name : 
VID : $01050342 : 17105730 : RC2EtchCount1Name : 
VID : $01050343 : 17105731 : RC3EtchCount1Name : 
VID : $01050344 : 17105732 : RC4EtchCount1Name : 
VID : $01050351 : 17105745 : RC1EtchCount2Name : 
VID : $01050352 : 17105746 : RC2EtchCount2Name : 
VID : $01050353 : 17105747 : RC3EtchCount2Name : 
VID : $01050354 : 17105748 : RC4EtchCount2Name : 
VID : $01050361 : 17105761 : RC1EtchCount3Name : 
VID : $01050362 : 17105762 : RC2EtchCount3Name : 
VID : $01050363 : 17105763 : RC3EtchCount3Name : 
VID : $01050364 : 17105764 : RC4EtchCount3Name : 
VID : $01050371 : 17105777 : RC1EtchCount4Name : 
VID : $01050372 : 17105778 : RC2EtchCount4Name : 
VID : $01050373 : 17105779 : RC3EtchCount4Name : 
VID : $01050374 : 17105780 : RC4EtchCount4Name : 
VID : $01050381 : 17105793 : RC1EtchCount5Name : 
VID : $01050382 : 17105794 : RC2EtchCount5Name : 
VID : $01050383 : 17105795 : RC3EtchCount5Name : 
VID : $01050384 : 17105796 : RC4EtchCount5Name : 
VID : $01050391 : 17105809 : RC1EtchCount6Name : 
VID : $01050392 : 17105810 : RC2EtchCount6Name : 
VID : $01050393 : 17105811 : RC3EtchCount6Name : 
VID : $01050394 : 17105812 : RC4EtchCount6Name : 
VID : $010503a1 : 17105825 : RC1EtchCount7Name : 
