//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Sat Mar 17 01:52:46 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
401000172 EqPostIdleRecipeCompletedPM1
401000173 LineClnRecipeStartedPM1
401000174 LineClnRecipeCompletedPM1
401000175 PasteRecipeStartedPM1
401000176 PasteRecipeCompletedPM1
402000159 GemEPTStateChangePM2
402000165 EqPreJobRecipeStartedPM2
402000166 EqPreJobRecipeCompletedPM2
402000167 EqPostJobRecipeStartedPM2
402000168 EqPostJobRecipeCompletedPM2
402000169 EqPreIdleRecipeStartedPM2
402000170 EqPreIdleRecipeCompletedPM2
402000171 EqPostIdleRecipeStartedPM2
402000172 EqPostIdleRecipeCompletedPM2
402000173 LineClnRecipeStartedPM2
402000174 LineClnRecipeCompletedPM2
402000175 PasteRecipeStartedPM2
402000176 PasteRecipeCompletedPM2
403000160 GemEPTStateChangePM3
403000165 EqPreJobRecipeStartedPM3
403000166 EqPreJobRecipeCompletedPM3
403000167 EqPostJobRecipeStartedPM3
403000168 EqPostJobRecipeCompletedPM3
403000169 EqPreIdleRecipeStartedPM3
403000170 EqPreIdleRecipeCompletedPM3
403000171 EqPostIdleRecipeStartedPM3
403000172 EqPostIdleRecipeCompletedPM3
403000173 LineClnRecipeStartedPM3
403000174 LineClnRecipeCompletedPM3
403000175 PasteRecipeStartedPM3
403000176 PasteRecipeCompletedPM3
404000161 GemEPTStateChangePM4
404000165 EqPreJobRecipeStartedPM4
404000166 EqPreJobRecipeCompletedPM4
404000167 EqPostJobRecipeStartedPM4
404000168 EqPostJobRecipeCompletedPM4
404000169 EqPreIdleRecipeStartedPM4
404000170 EqPreIdleRecipeCompletedPM4
404000171 EqPostIdleRecipeStartedPM4
404000172 EqPostIdleRecipeCompletedPM4
404000173 LineClnRecipeStartedPM4
404000174 LineClnRecipeCompletedPM4
404000175 PasteRecipeStartedPM4
404000176 PasteRecipeCompletedPM4
404000176 PasteRecipeCompletedPM4
405000162 GemEPTStateChangePM5
406230163 GemEPTStateChangePM6
407230164 GemEPTStateChangePM7
420000154 GemEPTStateChangeTM1
421000155 GemEPTStateChangeTM2
421210001 StartFoupToTM2
421210002 EndFoupToTM2
421210003 StartTM2ToFoup
421210004 EndTM2Foup
421210005 StartTM2ToLLL
421210006 EndTM2ToLLL
421210007 StartTM2ToRLL
421210008 EndTM2ToRLL
421210009 StartLLLToTM2
421210010 EndLLLToTM2
421210011 StartRLLToTM2
421210012 EndRLLToTM2
421210013 StartLLLToTM1
421210014 EndLLLToTM1
421210015 StartRLLToTM1
421210016 EndRLLToTM1
421210017 StartTM1ToLLL
421210018 EndTM1ToLLL
421210019 StartTM1ToRLL
421210020 EndTM1ToRLL
421210021 StartTM1ToPM1
421210022 EndTM1ToPM1
421210023 StartTM1ToPM2
421210024 EndTM1ToPM2
421210025 StartTM1ToPM3
421210026 EndTM1ToPM3
421210027 StartTM1ToPM4
421210028 EndTM1ToPM4
421210029 StartPM1ToTM1
421210030 EndPM1ToTM1
421210031 StartPM2ToTM1
421210032 EndPM2ToTM1
421210033 StartPM3ToTM1
421210034 EndPM3ToTM1
421210035 StartPM4ToTM1
421210036 EndPM4ToTM1
421210037 StartPumpLLL
421210038 EndPumpLLL
421210039 StartPumpRLL
421210040 EndPumpRll
421210041 StartBackfillLLL
421210042 EndBackfillLLL
421210043 StartBackfillRLL
421210044 EndBackFillRLL
421210045 StartPM1Recipe
421210046 EndPM1Recipe
421210047 StartPM2Recipe
421210048 EndPM2Recipe
421210049 StartPM3Recipe
421210050 EndPM3Recipe
421210051 StartPM4Recipe
421210052 EndPM4Recipe
430000156 GemEPTStateChangeCM1
431000157 GemEPTStateChangeCM2
499990153 GemEPTStateChangeCTC
