///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromHostLog.txt
// SoftRev: 1.68c4
// Date: Wed Jun 10 22:07:32 2020
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $05052340 : 84222784 : PortCarrierID : 
VID : $05052350 : 84222800 : PortLocID : 
VID : $05052370 : 84222832 : RCStateChangeRCPPName : 
VID : $05052370 : 84222832 : RCStateChangeRCPPName : 
VID : $05052370 : 84222832 : RCStateChangeRCPPName : 
VID : $05052380 : 84222848 : RCStateChangeLot : 
VID : $05052380 : 84222848 : RCStateChangeLot : 
VID : $05052380 : 84222848 : RCStateChangeLot : 
VID : $05052390 : 84222864 : RCStateChangeCarrier : 
VID : $050523a0 : 84222880 : RCStateChangePort : 
VID : $050523b0 : 84222896 : RCStateChangeSlot : 
VID : $05052400 : 84222976 : ProcWaferCJ : 
VID : $05052400 : 84222976 : ProcWaferCJ : 
VID : $05052410 : 84222992 : ProcWaferPJ : 
VID : $05052410 : 84222992 : ProcWaferPJ : 
VID : $05052420 : 84223008 : ProcWaferCarrier : 
VID : $05052420 : 84223008 : ProcWaferCarrier : 
VID : $05052430 : 84223024 : ProcWaferLot : 
VID : $05052430 : 84223024 : ProcWaferLot : 
VID : $05052440 : 84223040 : ProcWaferPort : 
VID : $05052440 : 84223040 : ProcWaferPort : 
VID : $05052450 : 84223056 : ProcWaferSlot : 
VID : $05052450 : 84223056 : ProcWaferSlot : 
VID : $05052460 : 84223072 : ProcWaferID : 
VID : $05052460 : 84223072 : ProcWaferID : 
VID : $05052470 : 84223088 : ProcWaferRC : 
VID : $05052470 : 84223088 : ProcWaferRC : 
VID : $05052480 : 84223104 : ProcWaferPP : 
VID : $05052480 : 84223104 : ProcWaferPP : 
VID : $05052490 : 84223120 : ProcWaferProRcp : 
VID : $05052490 : 84223120 : ProcWaferProRcp : 
VID : $050524a0 : 84223136 : ProcStepTime : 
VID : $050524d0 : 84223184 : ProcPreStepNum : 
VID : $050524e0 : 84223200 : ProcPreStepName : 
VID : $050524f0 : 84223216 : ProcNextStepNum : 
VID : $05052500 : 84223232 : ProcNextStepName : 
VID : $05052511 : 84223249 : ProcRcWaferCJ : 
VID : $05052511 : 84223249 : ProcRcWaferCJ : 
VID : $05052512 : 84223250 : ProcRcWaferPJ : 
VID : $05052512 : 84223250 : ProcRcWaferPJ : 
VID : $05052521 : 84223265 : ProcRcWaferLot : 
VID : $05052521 : 84223265 : ProcRcWaferLot : 
VID : $05052522 : 84223266 : ProcRcWaferCarrier : 
VID : $05052522 : 84223266 : ProcRcWaferCarrier : 
VID : $05052531 : 84223281 : ProcRcWaferPP : 
VID : $05052531 : 84223281 : ProcRcWaferPP : 
VID : $05052532 : 84223282 : ProcRcWaferProRcp : 
VID : $05052532 : 84223282 : ProcRcWaferProRcp : 
VID : $05052540 : 84223296 : ProcRcWaferID : 
VID : $05052540 : 84223296 : ProcRcWaferID : 
VID : $05052551 : 84223313 : ProcRcWaferPort : 
VID : $05052551 : 84223313 : ProcRcWaferPort : 
VID : $05052552 : 84223314 : ProcRcWaferSlot : 
VID : $05052552 : 84223314 : ProcRcWaferSlot : 
VID : $05052560 : 84223328 : ProcRcWaferRC : 
VID : $05052560 : 84223328 : ProcRcWaferRC : 
VID : $05052571 : 84223345 : ProcRcStepNum : 
VID : $05052571 : 84223345 : ProcRcStepNum : 
VID : $05052572 : 84223346 : ProcRcStepName : 
VID : $05052572 : 84223346 : ProcRcStepName : 
VID : $05052573 : 84223347 : ProcRcStepTime : 
VID : $05052573 : 84223347 : ProcRcStepTime : 
VID : $05052580 : 84223360 : ProcRcDepositionCount : 
VID : $05052590 : 84223376 : ProcRcCleaningCount : 
VID : $050525a1 : 84223393 : ProcRcVppData1 : 
VID : $050525a2 : 84223394 : ProcRcVppData2 : 
VID : $050525a3 : 84223395 : ProcRcVppSabun : 
VID : $050525b1 : 84223409 : ProcRcVdcData1 : 
VID : $050525b2 : 84223410 : ProcRcVdcData2 : 
VID : $050525b3 : 84223411 : ProcRcVdcSabun : 
VID : $05053200 : 84226560 : RCStateChangeCtrlJobID : 
VID : $05053200 : 84226560 : RCStateChangeCtrlJobID : 
VID : $05053210 : 84226576 : RCStateChangePRJobID : 
VID : $05053210 : 84226576 : RCStateChangePRJobID : 
VID : $05053220 : 84226592 : RCStateChangeWaferID : 
VID : $05053220 : 84226592 : RCStateChangeWaferID : 
VID : $05053230 : 84226608 : RCStateChangePRJobRecID : 
VID : $05053230 : 84226608 : RCStateChangePRJobRecID : 
VID : $05053240 : 84226624 : RCStateChangeRcpType : 
VID : $05053240 : 84226624 : RCStateChangeRcpType : 
VID : $05060010 : 84279312 : AccessMode : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060020 : 84279328 : CarrierID : 
VID : $05060030 : 84279344 : LocationID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060040 : 84279360 : PortID : 
VID : $05060050 : 84279376 : PortAssociationState : 
VID : $05060050 : 84279376 : PortAssociationState : 
VID : $05060060 : 84279392 : PortTransferState : 
VID : $05060060 : 84279392 : PortTransferState : 
VID : $05060080 : 84279424 : LoadPortReservationState : 
VID : $05060090 : 84279440 : SlotMap : 
VID : $050600c0 : 84279488 : CarrierIDStatus : 
VID : $050600d0 : 84279504 : SlotMapStatus : 
VID : $050600e0 : 84279520 : CarrierAccessingStatus : 
VID : $05070010 : 84344848 : PRJobID : 
VID : $05070020 : 84344864 : PRJobRecID : 
VID : $05070030 : 84344880 : PRJobState : 
VID : $05080010 : 84410384 : CtrlJobID : 
VID : $05080020 : 84410400 : CtrlJobState : 
VID : $05090010 : 84475920 : SubstID : 
VID : $05090010 : 84475920 : SubstID : 
VID : $05090010 : 84475920 : SubstID : 
VID : $05090010 : 84475920 : SubstID : 
VID : $05090020 : 84475936 : SubstLocID : 
VID : $05090020 : 84475936 : SubstLocID : 
VID : $05090020 : 84475936 : SubstLocID : 
VID : $05090030 : 84475952 : SubstState : 
VID : $05090040 : 84475968 : SubstProcState : 
VID : $05090040 : 84475968 : SubstProcState : 
VID : $05090050 : 84475984 : SubstLocState : 
VID : $05090060 : 84476000 : SubstSource : 
VID : $05090060 : 84476000 : SubstSource : 
VID : $05090070 : 84476016 : SubstDistination : 
